,Gaimersheim,Ingolstadt,Munich
0,38.8,0.0,22.8
1,38.8,0.0,22.8
2,38.8,0.0,22.8
3,38.8,0.0,22.8
4,38.8,0.0,22.8
5,38.8,0.0,22.8
6,38.8,0.0,22.8
7,38.8,0.0,22.8
8,38.8,0.0,22.8
9,38.4,0.0,22.8
10,38.4,0.0,22.8
11,38.4,0.0,22.8
12,38.4,0.0,22.8
13,38.4,0.0,23.2
14,38.4,0.0,23.2
15,38.4,0.0,23.2
16,38.4,0.0,23.2
17,38.4,0.0,23.2
18,38.4,0.0,23.2
19,38.4,0.0,23.2
20,38.0,0.0,23.2
21,38.0,0.0,23.2
22,38.0,0.0,23.2
23,38.0,0.0,23.2
24,38.0,0.0,23.2
25,38.0,0.0,23.2
26,38.0,0.0,23.2
27,38.0,0.0,23.2
28,38.0,0.0,23.2
29,38.0,0.0,23.2
30,38.0,0.0,23.2
31,38.0,0.0,23.2
32,37.6,0.0,23.2
33,37.6,0.0,23.2
34,37.6,0.0,23.2
35,37.6,0.0,23.2
36,37.6,0.0,23.2
37,37.6,0.0,23.2
38,37.6,0.0,23.2
39,37.6,0.0,23.2
40,37.6,0.0,23.2
41,37.6,0.0,23.2
42,37.6,0.0,23.2
43,37.6,0.0,23.2
44,37.6,0.0,23.2
45,37.6,0.0,23.2
46,37.6,0.0,23.2
47,37.6,0.0,23.2
48,37.6,0.0,22.8
49,37.6,0.0,22.8
50,37.6,0.0,22.4
51,37.6,0.0,22.0
52,37.6,0.0,22.0
53,37.6,0.0,22.0
54,37.6,0.0,22.0
55,37.6,0.0,21.6
56,37.6,0.0,21.6
57,37.6,0.0,21.2
58,37.6,0.0,20.8
59,37.6,0.0,20.4
60,37.6,0.0,20.4
61,37.6,0.0,19.6
62,37.6,0.0,19.6
63,37.6,0.0,19.6
64,37.6,0.0,19.2
65,37.6,0.0,19.2
66,37.6,0.0,19.2
67,37.6,0.0,19.2
68,37.6,0.0,19.2
69,37.6,0.0,19.2
70,37.6,0.0,19.2
71,37.6,0.0,19.2
72,37.6,0.0,19.2
73,37.6,0.0,19.2
74,37.6,0.0,19.2
75,37.6,0.0,19.2
76,37.6,0.0,19.2
77,37.6,0.0,18.8
78,37.6,0.0,18.8
79,37.6,0.0,18.8
80,37.6,0.0,18.8
81,37.6,0.0,18.8
82,37.6,0.0,18.8
83,37.6,0.0,18.8
84,37.6,0.0,18.8
85,37.6,0.0,18.8
