,Gaimersheim,Ingolstadt,Munich
0,52.35,2.4,0.45
1,51.3,2.4,0.45
2,50.1,2.55,0.45
3,49.05,2.7,0.45
4,48.0,2.85,0.45
5,46.5,2.85,0.45
6,45.45,3.0,0.45
7,44.55,3.15,0.3
8,43.5,3.15,0.3
9,42.6,3.45,0.15
10,41.85,3.6,0.15
11,40.95,3.75,0.0
12,40.2,3.9,0.0
13,39.3,4.05,0.0
14,38.55,4.2,0.15
15,37.8,4.35,0.3
16,37.05,4.5,0.45
17,36.3,4.8,0.6
18,34.95,4.95,0.75
19,34.05,5.1,0.9
20,33.3,5.4,1.2
21,32.55,5.7,1.35
22,31.8,5.85,1.5
23,31.05,6.0,1.65
24,30.15,6.3,1.8
25,29.4,6.45,1.95
26,28.65,6.6,2.1
27,28.05,6.9,2.25
28,27.3,7.05,2.4
29,26.55,7.35,2.55
30,25.5,7.5,2.7
31,24.9,7.65,2.7
32,24.3,7.95,2.85
33,23.7,8.25,3.15
34,23.1,8.4,3.15
35,22.5,8.55,3.45
36,21.9,8.7,3.6
37,21.3,8.85,3.6
38,20.7,9.0,3.75
39,20.1,9.15,3.9
40,19.5,9.15,3.9
41,18.9,9.3,4.05
42,18.0,9.3,4.2
43,17.55,9.3,4.2
44,16.95,9.3,4.35
45,16.5,9.3,4.35
46,15.9,9.3,4.5
47,15.45,9.3,4.5
48,15.0,9.3,4.65
49,14.55,9.15,4.65
50,14.1,9.0,4.8
51,13.8,9.0,4.8
52,13.35,9.0,4.8
53,13.05,8.85,4.8
54,12.45,8.7,4.95
55,12.15,8.7,5.1
56,11.85,8.7,5.1
57,11.55,8.55,5.25
58,11.4,8.4,5.25
59,11.1,8.25,5.25
60,10.95,8.25,5.25
61,10.8,8.25,5.25
62,10.65,8.1,5.4
63,10.5,8.1,5.4
64,10.5,7.95,5.4
65,10.35,7.95,5.4
66,10.35,7.8,5.4
67,10.35,7.8,5.4
68,10.35,7.8,5.4
69,10.35,7.65,5.4
70,10.35,7.65,5.4
71,10.35,7.65,5.4
72,10.35,7.65,5.4
73,10.35,7.65,5.55
74,10.35,7.65,5.55
75,10.35,7.5,5.7
76,10.35,7.5,5.7
77,10.35,7.5,5.85
78,10.35,7.5,5.85
79,10.35,7.5,5.85
80,10.35,7.5,6.0
81,10.35,7.5,6.0
82,10.35,7.5,6.0
83,10.35,7.5,6.0
84,10.35,7.5,6.15
85,10.2,7.5,6.15
86,10.2,7.5,6.15
87,10.2,7.5,6.15
88,10.2,7.5,6.15
89,10.2,7.5,6.15
90,10.2,7.5,6.15
91,10.05,7.5,6.15
92,10.05,7.5,6.15
93,10.05,7.5,6.15
94,9.9,7.5,6.15
95,9.9,7.35,6.15
96,9.9,7.35,6.15
97,9.9,7.35,6.15
98,9.9,7.35,6.15
99,9.9,7.35,6.3
100,9.9,7.2,6.3
101,9.9,7.2,6.45
102,9.75,7.2,6.45
103,9.75,7.2,6.45
104,9.75,7.05,6.6
105,9.75,7.05,6.6
106,9.75,6.9,6.6
107,9.75,6.9,6.6
108,9.75,6.75,6.6
109,9.75,6.75,6.6
110,9.75,6.6,6.75
111,9.75,6.45,6.75
112,9.75,6.45,6.75
113,9.75,6.3,6.75
114,9.75,6.15,6.75
115,9.75,6.15,6.75
116,9.75,6.0,6.75
117,9.75,5.7,6.75
118,9.75,5.7,6.9
119,9.9,5.55,6.9
120,9.9,5.4,6.9
121,10.05,5.4,6.9
122,10.05,5.25,7.05
123,10.05,5.1,7.05
124,10.2,4.95,7.2
125,10.2,4.95,7.2
126,10.35,4.8,7.2
127,10.5,4.8,7.2
128,10.5,4.65,7.35
129,10.65,4.65,7.5
130,10.65,4.5,7.5
131,10.8,4.5,7.5
132,10.95,4.5,7.65
133,11.1,4.5,7.65
134,11.25,4.35,7.65
135,11.25,4.35,7.65
136,11.4,4.35,7.8
137,11.55,4.35,7.95
138,11.55,4.35,7.95
139,11.7,4.35,7.95
140,11.85,4.35,7.95
141,11.85,4.35,7.95
142,11.85,4.35,8.1
143,11.85,4.35,8.1
144,12.0,4.35,8.1
145,12.0,4.35,8.25
146,12.0,4.35,8.25
147,12.0,4.35,8.25
148,12.0,4.35,8.4
149,12.0,4.35,8.4
150,12.0,4.35,8.4
151,12.0,4.35,8.4
152,12.0,4.35,8.55
153,12.0,4.35,8.55
154,12.0,4.35,8.55
155,12.0,4.35,8.55
156,12.0,4.35,8.55
157,12.0,4.35,8.55
158,12.0,4.35,8.55
159,12.0,4.35,8.55
160,12.0,4.35,8.55
161,12.0,4.35,8.55
162,12.0,4.35,8.55
163,12.0,4.35,8.55
164,12.0,4.35,8.4
165,12.0,4.2,8.4
166,12.0,4.2,8.4
167,12.0,4.2,8.4
168,12.0,4.2,8.4
169,12.0,4.2,8.4
170,12.0,4.2,8.4
171,12.0,4.2,8.4
172,12.0,4.05,8.4
173,12.0,4.05,8.25
174,12.0,4.05,8.25
175,12.0,4.05,8.25
176,12.0,4.05,8.1
177,12.0,4.05,8.1
178,12.0,4.05,7.95
179,12.0,3.9,7.95
180,12.0,3.9,7.95
181,12.0,3.9,7.95
182,12.0,3.9,7.8
183,12.0,3.9,7.8
184,12.0,3.9,7.8
185,12.0,3.9,7.65
186,12.0,3.9,7.65
187,12.0,3.9,7.65
188,12.0,3.9,7.65
189,12.0,3.9,7.5
190,12.0,3.9,7.5
191,12.0,3.9,7.5
192,12.0,3.9,7.5
193,11.85,3.9,7.5
194,11.85,3.9,7.5
195,11.85,3.9,7.5
196,11.85,3.9,7.5
197,11.85,3.9,7.35
198,11.85,3.9,7.35
199,11.85,3.9,7.35
200,11.85,3.9,7.35
201,11.85,3.9,7.2
202,11.85,3.9,7.2
203,11.85,3.9,7.2
204,11.85,3.9,7.05
205,11.85,3.9,7.05
206,11.85,3.9,7.05
207,11.85,3.9,6.9
208,11.85,3.9,6.9
209,11.85,3.9,6.75
210,11.85,3.9,6.75
211,11.85,3.9,6.75
212,11.85,3.9,6.75
213,11.85,3.9,6.6
214,11.85,3.9,6.45
215,11.85,3.9,6.3
216,11.85,3.9,6.15
217,11.7,3.9,5.85
218,11.7,3.9,5.55
219,11.7,3.9,5.25
220,11.7,3.9,4.95
221,11.7,3.75,4.65
222,11.7,3.75,4.35
223,11.7,3.75,4.2
224,11.7,3.75,3.75
225,11.7,3.75,3.45
226,11.55,3.75,3.15
227,11.55,3.75,2.85
228,11.55,3.75,2.55
229,11.55,3.75,2.25
230,11.4,3.75,2.1
231,11.4,3.75,1.8
232,11.4,3.75,1.65
233,11.25,3.75,1.5
234,11.25,3.75,1.35
235,11.1,3.75,1.05
236,11.1,3.75,0.9
237,10.95,3.75,0.75
238,10.95,3.75,0.75
239,10.8,3.75,0.6
240,10.8,3.75,0.45
241,10.65,3.6,0.45
242,10.65,3.6,0.3
243,10.5,3.6,0.3
244,10.5,3.6,0.15
